地区,日期,期次/发布日期,商品,规格,单位,价格,日变化,日变化率,月变化,月变化率,口径,采价点数,官方环比,来源链接
海口市,2026-05-28,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-28）,西红柿,15种基本蔬菜各区零售价格日报单品均价,元/斤,4.4,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527992.shtml
海口市,2026-05-28,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-28）,豆角,15种基本蔬菜各区零售价格日报单品均价,元/斤,4.69,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527992.shtml
海口市,2026-05-28,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-28）,土豆,15种基本蔬菜各区零售价格日报单品均价,元/斤,3,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527992.shtml
海口市,2026-05-28,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-28）,胡萝卜,15种基本蔬菜各区零售价格日报单品均价,元/斤,3.15,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527992.shtml
海口市,2026-05-28,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-28）,青椒,15种基本蔬菜各区零售价格日报单品均价,元/斤,4.74,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527992.shtml
海口市,2026-05-28,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-28）,尖椒,15种基本蔬菜各区零售价格日报单品均价,元/斤,5.1,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527992.shtml
海口市,2026-05-28,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-28）,圆白菜,15种基本蔬菜各区零售价格日报单品均价,元/斤,2.8,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527992.shtml
海口市,2026-05-28,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-28）,韭菜,15种基本蔬菜各区零售价格日报单品均价,元/斤,4.47,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527992.shtml
海口市,2026-05-28,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-28）,大白菜,15种基本蔬菜各区零售价格日报单品均价,元/斤,2.7,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527992.shtml
海口市,2026-05-28,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-28）,蒜苔,15种基本蔬菜各区零售价格日报单品均价,元/斤,7.7,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527992.shtml
海口市,2026-05-28,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-28）,15种蔬菜平均价,15种基本蔬菜各区零售价格日报单品均价,元/斤,4.08,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527992.shtml
海口市,2026-05-24,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-24）,芹菜,15种基本蔬菜各区零售价格日报单品均价,元/斤,4.5,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527317.shtml
海口市,2026-05-24,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-24）,上海青,15种基本蔬菜各区零售价格日报单品均价,元/斤,3.7,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527317.shtml
海口市,2026-05-24,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-24）,黄瓜,15种基本蔬菜各区零售价格日报单品均价,元/斤,3.48,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527317.shtml
海口市,2026-05-24,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-24）,萝卜,15种基本蔬菜各区零售价格日报单品均价,元/斤,2.48,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527317.shtml
海口市,2026-05-24,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-24）,茄子,15种基本蔬菜各区零售价格日报单品均价,元/斤,3.65,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527317.shtml
海口市,2026-05-24,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-24）,西红柿,15种基本蔬菜各区零售价格日报单品均价,元/斤,4.58,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527317.shtml
海口市,2026-05-24,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-24）,豆角,15种基本蔬菜各区零售价格日报单品均价,元/斤,4.69,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527317.shtml
海口市,2026-05-24,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-24）,土豆,15种基本蔬菜各区零售价格日报单品均价,元/斤,2.86,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527317.shtml
海口市,2026-05-24,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-24）,胡萝卜,15种基本蔬菜各区零售价格日报单品均价,元/斤,2.96,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527317.shtml
海口市,2026-05-24,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-24）,青椒,15种基本蔬菜各区零售价格日报单品均价,元/斤,4.88,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527317.shtml
海口市,2026-05-24,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-24）,尖椒,15种基本蔬菜各区零售价格日报单品均价,元/斤,5.3,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527317.shtml
海口市,2026-05-24,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-24）,圆白菜,15种基本蔬菜各区零售价格日报单品均价,元/斤,2.89,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527317.shtml
海口市,2026-05-24,海口市15种基本蔬菜品种各区（开发区）零售价格日报表（2026-05-24）,韭菜,15种基本蔬菜各区零售价格日报单品均价,元/斤,4.59,,,,,官方图片表格单品均价,,,https://drc.haikou.gov.cn/zdlyxxgk/jgtk/202605/t1527317.shtml
