地区,日期,期次/发布日期,商品,规格,单位,价格,日变化,日变化率,月变化,月变化率,口径,采价点数,官方环比,来源链接
徐州市,2026-04-13,民生价格监测(2026-04-13),新土豆,新鲜一级,元/500克,3.5,,,,,解放桥市场零售价,1,,https://dpc.xz.gov.cn/govxxgk/014051298/2026-04-13/b7cdbe42-82de-418e-a5a0-c34d4034c405.html
徐州市,2026-04-13,民生价格监测(2026-04-13),新土豆,新鲜一级,元/500克,3,,,,,灯塔市场零售价,1,,https://dpc.xz.gov.cn/govxxgk/014051298/2026-04-13/b7cdbe42-82de-418e-a5a0-c34d4034c405.html
徐州市,2026-04-13,民生价格监测(2026-04-13),新土豆,新鲜一级,元/500克,3,,,,,奎园市场零售价,1,,https://dpc.xz.gov.cn/govxxgk/014051298/2026-04-13/b7cdbe42-82de-418e-a5a0-c34d4034c405.html
徐州市,2026-04-13,民生价格监测(2026-04-13),新土豆,新鲜一级,元/500克,3,,,,,苏北市场零售价,1,,https://dpc.xz.gov.cn/govxxgk/014051298/2026-04-13/b7cdbe42-82de-418e-a5a0-c34d4034c405.html
徐州市,2026-04-13,民生价格监测(2026-04-13),新土豆,新鲜一级,元/500克,2.5,,,,,杨庄市场零售价,1,,https://dpc.xz.gov.cn/govxxgk/014051298/2026-04-13/b7cdbe42-82de-418e-a5a0-c34d4034c405.html
徐州市,2026-04-13,民生价格监测(2026-04-13),新土豆,新鲜一级,元/500克,1.8,,,,,民祥市场零售价,1,,https://dpc.xz.gov.cn/govxxgk/014051298/2026-04-13/b7cdbe42-82de-418e-a5a0-c34d4034c405.html
徐州市,2026-04-13,民生价格监测(2026-04-13),新洋葱,新鲜一级,元/500克,2.5,,,,,解放桥市场零售价,1,,https://dpc.xz.gov.cn/govxxgk/014051298/2026-04-13/b7cdbe42-82de-418e-a5a0-c34d4034c405.html
徐州市,2026-04-13,民生价格监测(2026-04-13),新洋葱,新鲜一级,元/500克,3,,,,,灯塔市场零售价,1,,https://dpc.xz.gov.cn/govxxgk/014051298/2026-04-13/b7cdbe42-82de-418e-a5a0-c34d4034c405.html
徐州市,2026-04-13,民生价格监测(2026-04-13),新洋葱,新鲜一级,元/500克,1.5,,,,,杨庄市场零售价,1,,https://dpc.xz.gov.cn/govxxgk/014051298/2026-04-13/b7cdbe42-82de-418e-a5a0-c34d4034c405.html
徐州市,2026-04-13,民生价格监测(2026-04-13),新生姜,新鲜一级,元/500克,5,,,,,解放桥市场零售价,1,,https://dpc.xz.gov.cn/govxxgk/014051298/2026-04-13/b7cdbe42-82de-418e-a5a0-c34d4034c405.html
