地区,日期,期次/发布日期,商品,规格,单位,价格,日变化,日变化率,月变化,月变化率,口径,采价点数,官方环比,来源链接
三亚市,2026-07-31,三亚市重要民生商品价格监测周报,冰鲜水产品,罗非鱼、金线鱼、虾代表品,元/500克,24.58,,,,,重要民生商品价格监测周报正文摘要,,-2.73%,https://fg.sanya.gov.cn/fgwsite/gzdt/202607/19fdc93415ba4a52815d57db01b11efc.shtml
三亚市,2026-07-31,三亚市重要民生商品价格监测周报,成品粮,晚籼米、粳米、富强面粉代表品,元/500克,3.47,,,,,重要民生商品价格监测周报正文摘要,,0.00%,https://fg.sanya.gov.cn/fgwsite/gzdt/202607/19fdc93415ba4a52815d57db01b11efc.shtml
三亚市,2026-07-31,三亚市重要民生商品价格监测周报,猪肉,精瘦肉、排骨、五花肉代表品,元/500克,22.02,,,,,重要民生商品价格监测周报正文摘要,,0.00%,https://fg.sanya.gov.cn/fgwsite/gzdt/202607/19fdc93415ba4a52815d57db01b11efc.shtml
三亚市,2026-07-31,三亚市重要民生商品价格监测周报,蔬菜,22种基本蔬菜,元/500克,4.41,,,,,重要民生商品价格监测周报正文摘要,,0.00%,https://fg.sanya.gov.cn/fgwsite/gzdt/202607/19fdc93415ba4a52815d57db01b11efc.shtml
三亚市,2026-07-31,三亚市重要民生商品价格监测周报,食用油,金龙鱼花生油、调和油、大豆油代表品,元/5升桶,79.35,,,,,重要民生商品价格监测周报正文摘要,,0.00%,https://fg.sanya.gov.cn/fgwsite/gzdt/202607/19fdc93415ba4a52815d57db01b11efc.shtml
三亚市,2026-08-06,三亚市重要民生商品价格监测周报,冰鲜水产品,罗非鱼、金线鱼、虾代表品,元/500克,24.61,,,,,重要民生商品价格监测周报正文摘要,,0.00%,https://fg.sanya.gov.cn/fgwsite/gzdt/202608/22f78f9f80c94f3cab5b834db60ac5a9.shtml
三亚市,2026-08-06,三亚市重要民生商品价格监测周报,成品粮,晚籼米、粳米、富强面粉代表品,元/500克,3.47,,,,,重要民生商品价格监测周报正文摘要,,0.00%,https://fg.sanya.gov.cn/fgwsite/gzdt/202608/22f78f9f80c94f3cab5b834db60ac5a9.shtml
三亚市,2026-08-06,三亚市重要民生商品价格监测周报,猪肉,精瘦肉、排骨、五花肉代表品,元/500克,22.21,,,,,重要民生商品价格监测周报正文摘要,,0.00%,https://fg.sanya.gov.cn/fgwsite/gzdt/202608/22f78f9f80c94f3cab5b834db60ac5a9.shtml
三亚市,2026-08-06,三亚市重要民生商品价格监测周报,蔬菜,22种基本蔬菜,元/500克,4.48,,,,,重要民生商品价格监测周报正文摘要,,1.59%,https://fg.sanya.gov.cn/fgwsite/gzdt/202608/22f78f9f80c94f3cab5b834db60ac5a9.shtml
三亚市,2026-08-06,三亚市重要民生商品价格监测周报,食用油,金龙鱼花生油、调和油、大豆油代表品,元/5升桶,79.35,,,,,重要民生商品价格监测周报正文摘要,,0.00%,https://fg.sanya.gov.cn/fgwsite/gzdt/202608/22f78f9f80c94f3cab5b834db60ac5a9.shtml
上海市,2026-08-06,上海市主要主副食品品种价格信息表（2026年08月06日）,猪精瘦肉,平均零售价,元/500克,16.94,,,,,主要主副食品品种价格信息表正文摘要,,0.10%,https://fgw.sh.gov.cn/fgw_jgjgdt/20260806/c594cc98a90742d38139b5b9bc4a01d7.html
上海市,2026-08-06,上海市主要主副食品品种价格信息表（2026年08月06日）,鸡蛋,平均零售价,元/500克,5.74,,,,,主要主副食品品种价格信息表正文摘要,,0.00%,https://fgw.sh.gov.cn/fgw_jgjgdt/20260806/c594cc98a90742d38139b5b9bc4a01d7.html
上海市,2026-08-07,上海市主要主副食品品种价格信息表（2026年08月07日）,猪精瘦肉,平均零售价,元/500克,16.94,,,,,主要主副食品品种价格信息表正文摘要,,0.00%,https://fgw.sh.gov.cn/fgw_jgjgdt/20260807/4807ca91874b49208f578c42df28eb4e.html
上海市,2026-08-07,上海市主要主副食品品种价格信息表（2026年08月07日）,青菜,平均零售价,元/500克,3.37,,,,,主要主副食品品种价格信息表正文摘要,,,https://fgw.sh.gov.cn/fgw_jgjgdt/20260807/4807ca91874b49208f578c42df28eb4e.html
上海市,2026-08-07,上海市主要主副食品品种价格信息表（2026年08月07日）,鸡毛菜,平均零售价,元/500克,4.99,,,,,主要主副食品品种价格信息表正文摘要,,,https://fgw.sh.gov.cn/fgw_jgjgdt/20260807/4807ca91874b49208f578c42df28eb4e.html
