地区,日期,期次/发布日期,商品,规格,单位,价格,日变化,日变化率,月变化,月变化率,口径,采价点数,官方环比,来源链接
福州市,2026年6月15日,"
		2026年6月15日福州市主副食品集超均价表_主副食品_
		福州市发展和改革委员会
	",晚籼米,标一,元/500克,2.68,,,,,福州市主副食品集超均价表，集超均价,,,https://fgw.fuzhou.gov.cn/fgwzwgk/fzgggz/jgysf/msspjgxq/zfsp/202606/t20260615_5334115.htm
福州市,2026年6月15日,"
		2026年6月15日福州市主副食品集超均价表_主副食品_
		福州市发展和改革委员会
	",普通鸡蛋,新鲜完整,元/500克,6.48,,,,,福州市主副食品集超均价表，集超均价,,,https://fgw.fuzhou.gov.cn/fgwzwgk/fzgggz/jgysf/msspjgxq/zfsp/202606/t20260615_5334115.htm
福州市,2026年6月15日,"
		2026年6月15日福州市主副食品集超均价表_主副食品_
		福州市发展和改革委员会
	",普通鸭蛋,新鲜完整,元/500克,8.05,,,,,福州市主副食品集超均价表，集超均价,,,https://fgw.fuzhou.gov.cn/fgwzwgk/fzgggz/jgysf/msspjgxq/zfsp/202606/t20260615_5334115.htm
福州市,2026年6月15日,"
		2026年6月15日福州市主副食品集超均价表_主副食品_
		福州市发展和改革委员会
	",标准粉,,元/500克,2.51,,,,,福州市主副食品集超均价表，集超均价,,,https://fgw.fuzhou.gov.cn/fgwzwgk/fzgggz/jgysf/msspjgxq/zfsp/202606/t20260615_5334115.htm
福州市,2026年6月15日,"
		2026年6月15日福州市主副食品集超均价表_主副食品_
		福州市发展和改革委员会
	",梨,新鲜,元/500克,5.64,,,,,福州市主副食品集超均价表，集超均价,,,https://fgw.fuzhou.gov.cn/fgwzwgk/fzgggz/jgysf/msspjgxq/zfsp/202606/t20260615_5334115.htm
福州市,2026年6月15日,"
		2026年6月15日福州市主副食品集超均价表_主副食品_
		福州市发展和改革委员会
	",油菜(菜心),新鲜,元/500克,3.54,,,,,福州市主副食品集超均价表，集超均价,,,https://fgw.fuzhou.gov.cn/fgwzwgk/fzgggz/jgysf/msspjgxq/zfsp/202606/t20260615_5334115.htm
福州市,2026年6月15日,"
		2026年6月15日福州市主副食品集超均价表_主副食品_
		福州市发展和改革委员会
	",活明虾,鲜活,元/500克,28.45,,,,,福州市主副食品集超均价表，集超均价,,,https://fgw.fuzhou.gov.cn/fgwzwgk/fzgggz/jgysf/msspjgxq/zfsp/202606/t20260615_5334115.htm
福州市,2026年6月15日,"
		2026年6月15日福州市主副食品集超均价表_主副食品_
		福州市发展和改革委员会
	",活花蛤,鲜活,元/500克,10.32,,,,,福州市主副食品集超均价表，集超均价,,,https://fgw.fuzhou.gov.cn/fgwzwgk/fzgggz/jgysf/msspjgxq/zfsp/202606/t20260615_5334115.htm
福州市,2026年6月15日,"
		2026年6月15日福州市主副食品集超均价表_主副食品_
		福州市发展和改革委员会
	",活草鱼,鲜活,元/500克,12.24,,,,,福州市主副食品集超均价表，集超均价,,,https://fgw.fuzhou.gov.cn/fgwzwgk/fzgggz/jgysf/msspjgxq/zfsp/202606/t20260615_5334115.htm
福州市,2026年6月15日,"
		2026年6月15日福州市主副食品集超均价表_主副食品_
		福州市发展和改革委员会
	",活鳙鱼（大头鲢）,鲜活,元/500克,13.81,,,,,福州市主副食品集超均价表，集超均价,,,https://fgw.fuzhou.gov.cn/fgwzwgk/fzgggz/jgysf/msspjgxq/zfsp/202606/t20260615_5334115.htm
福州市,2026年6月15日,"
		2026年6月15日福州市主副食品集超均价表_主副食品_
		福州市发展和改革委员会
	",牛肉,去骨肉,元/500克,45.44,,,,,福州市主副食品集超均价表，集超均价,,,https://fgw.fuzhou.gov.cn/fgwzwgk/fzgggz/jgysf/msspjgxq/zfsp/202606/t20260615_5334115.htm
福州市,2026年6月15日,"
		2026年6月15日福州市主副食品集超均价表_主副食品_
		福州市发展和改革委员会
	",猪瘦肉,新鲜,元/500克,13.65,,,,,福州市主副食品集超均价表，集超均价,,,https://fgw.fuzhou.gov.cn/fgwzwgk/fzgggz/jgysf/msspjgxq/zfsp/202606/t20260615_5334115.htm
福州市,2026年6月15日,"
		2026年6月15日福州市主副食品集超均价表_主副食品_
		福州市发展和改革委员会
	",猪肋条肉,新鲜,元/500克,14.33,,,,,福州市主副食品集超均价表，集超均价,,,https://fgw.fuzhou.gov.cn/fgwzwgk/fzgggz/jgysf/msspjgxq/zfsp/202606/t20260615_5334115.htm
福州市,2026年6月15日,"
		2026年6月15日福州市主副食品集超均价表_主副食品_
		福州市发展和改革委员会
	",白萝卜,新鲜,元/500克,1.87,,,,,福州市主副食品集超均价表，集超均价,,,https://fgw.fuzhou.gov.cn/fgwzwgk/fzgggz/jgysf/msspjgxq/zfsp/202606/t20260615_5334115.htm
福州市,2026年6月15日,"
		2026年6月15日福州市主副食品集超均价表_主副食品_
		福州市发展和改革委员会
	",空心菜,新鲜,元/500克,3.35,,,,,福州市主副食品集超均价表，集超均价,,,https://fgw.fuzhou.gov.cn/fgwzwgk/fzgggz/jgysf/msspjgxq/zfsp/202606/t20260615_5334115.htm
福州市,2026年6月15日,"
		2026年6月15日福州市主副食品集超均价表_主副食品_
		福州市发展和改革委员会
	",粳米,标一,元/500克,2.97,,,,,福州市主副食品集超均价表，集超均价,,,https://fgw.fuzhou.gov.cn/fgwzwgk/fzgggz/jgysf/msspjgxq/zfsp/202606/t20260615_5334115.htm
福州市,2026年6月15日,"
		2026年6月15日福州市主副食品集超均价表_主副食品_
		福州市发展和改革委员会
	",红萝卜,新鲜,元/500克,2.52,,,,,福州市主副食品集超均价表，集超均价,,,https://fgw.fuzhou.gov.cn/fgwzwgk/fzgggz/jgysf/msspjgxq/zfsp/202606/t20260615_5334115.htm
