地区,日期,期次/发布日期,商品,规格,单位,价格,日变化,日变化率,月变化,月变化率,口径,采价点数,官方环比,来源链接
湖北省,2026-01-23,价格快报第8期 猪肉价格上涨,猪肉,精瘦肉,元／500克,15.65,,,,,湖北省价格快报本周均价,,0.71%,https://fgw.hubei.gov.cn/fbjd/xxgkml/jgzn/zsdw/jgjczx/jgkb/202601/t20260123_5862420.shtml
湖北省,2026-01-23,价格快报第8期 猪肉价格上涨,猪肉,腿夹肉,元／500克,11.34,,,,,湖北省价格快报本周均价,,2.07%,https://fgw.hubei.gov.cn/fbjd/xxgkml/jgzn/zsdw/jgjczx/jgkb/202601/t20260123_5862420.shtml
湖北省,2026-01-23,价格快报第8期 猪肉价格上涨,猪肉,肋排,元／500克,21.53,,,,,湖北省价格快报本周均价,,1.41%,https://fgw.hubei.gov.cn/fbjd/xxgkml/jgzn/zsdw/jgjczx/jgkb/202601/t20260123_5862420.shtml
湖北省,2026-01-23,价格快报第8期 猪肉价格上涨,牛肉,去骨肉,元／500克,38.05,,,,,湖北省价格快报本周均价,,-0.29%,https://fgw.hubei.gov.cn/fbjd/xxgkml/jgzn/zsdw/jgjczx/jgkb/202601/t20260123_5862420.shtml
湖北省,2026-01-23,价格快报第8期 猪肉价格上涨,羊肉,去骨肉,元／500克,34.65,,,,,湖北省价格快报本周均价,,0.23%,https://fgw.hubei.gov.cn/fbjd/xxgkml/jgzn/zsdw/jgjczx/jgkb/202601/t20260123_5862420.shtml
湖北省,2026-01-23,价格快报第8期 猪肉价格上涨,鸡肉,冷冻,元／500克,9.50,,,,,湖北省价格快报本周均价,,-0.11%,https://fgw.hubei.gov.cn/fbjd/xxgkml/jgzn/zsdw/jgjczx/jgkb/202601/t20260123_5862420.shtml
湖北省,2026-01-23,价格快报第8期 猪肉价格上涨,鸭肉,冷冻,元／500克,8.30,,,,,湖北省价格快报本周均价,,-0.36%,https://fgw.hubei.gov.cn/fbjd/xxgkml/jgzn/zsdw/jgjczx/jgkb/202601/t20260123_5862420.shtml
湖北省,2026-01-23,价格快报第8期 猪肉价格上涨,鸡蛋,新鲜完整,元／500克,5.13,,,,,湖北省价格快报本周均价,,0.79%,https://fgw.hubei.gov.cn/fbjd/xxgkml/jgzn/zsdw/jgjczx/jgkb/202601/t20260123_5862420.shtml
湖北省,2026-01-23,价格快报第8期 猪肉价格上涨,牛奶,纯牛奶,元／250毫升,2.90,,,,,湖北省价格快报本周均价,,0.00%,https://fgw.hubei.gov.cn/fbjd/xxgkml/jgzn/zsdw/jgjczx/jgkb/202601/t20260123_5862420.shtml
湖北省,2026-01-23,价格快报第8期 猪肉价格上涨,草鱼,活1000克左右一条,元／500克,8.86,,,,,湖北省价格快报本周均价,,1.37%,https://fgw.hubei.gov.cn/fbjd/xxgkml/jgzn/zsdw/jgjczx/jgkb/202601/t20260123_5862420.shtml
湖北省,2026-01-23,价格快报第8期 猪肉价格上涨,胖头鱼,活1500克左右一条,元／500克,9.37,,,,,湖北省价格快报本周均价,,0.75%,https://fgw.hubei.gov.cn/fbjd/xxgkml/jgzn/zsdw/jgjczx/jgkb/202601/t20260123_5862420.shtml
湖北省,2026-01-23,价格快报第8期 猪肉价格上涨,鲫鱼,活350克左右一条,元／500克,11.56,,,,,湖北省价格快报本周均价,,0.78%,https://fgw.hubei.gov.cn/fbjd/xxgkml/jgzn/zsdw/jgjczx/jgkb/202601/t20260123_5862420.shtml
