地区,日期,期次/发布日期,商品,规格,单位,价格,日变化,日变化率,月变化,月变化率,口径,采价点数,官方环比,来源链接
银川市,2026-05-20,2026.5.20四季鲜农产品综合市场蔬菜批发价格,青萝卜,本地,元/500克,0.8,,,,,四季鲜农产品综合市场蔬菜批发价格,1,,https://fgw.yinchuan.gov.cn/fzgggz/jgjc/202605/t20260520_5245405.htm
银川市,2026-05-20,2026.5.20四季鲜农产品综合市场蔬菜批发价格,青萝卜,本地,元/500克,0.944,,,,,四季鲜农产品综合市场蔬菜批发价格,1,,https://fgw.yinchuan.gov.cn/fzgggz/jgjc/202605/t20260520_5245405.htm
银川市,2026-05-20,2026.5.20四季鲜农产品综合市场蔬菜批发价格,紫甘蓝,本地,元/500克,0.8,,,,,四季鲜农产品综合市场蔬菜批发价格,1,,https://fgw.yinchuan.gov.cn/fzgggz/jgjc/202605/t20260520_5245405.htm
银川市,2026-05-20,2026.5.20四季鲜农产品综合市场蔬菜批发价格,紫甘蓝,本地,元/500克,0.944,,,,,四季鲜农产品综合市场蔬菜批发价格,1,,https://fgw.yinchuan.gov.cn/fzgggz/jgjc/202605/t20260520_5245405.htm
银川市,2026-05-20,2026.5.20四季鲜农产品综合市场蔬菜批发价格,萝卜（心里美）,本地,元/500克,1.1,,,,,四季鲜农产品综合市场蔬菜批发价格,1,,https://fgw.yinchuan.gov.cn/fzgggz/jgjc/202605/t20260520_5245405.htm
银川市,2026-05-20,2026.5.20四季鲜农产品综合市场蔬菜批发价格,萝卜（心里美）,本地,元/500克,1.298,,,,,四季鲜农产品综合市场蔬菜批发价格,1,,https://fgw.yinchuan.gov.cn/fzgggz/jgjc/202605/t20260520_5245405.htm
银川市,2026-05-20,2026.5.20四季鲜农产品综合市场蔬菜批发价格,白菜花,本地,元/500克,3,,,,,四季鲜农产品综合市场蔬菜批发价格,1,,https://fgw.yinchuan.gov.cn/fzgggz/jgjc/202605/t20260520_5245405.htm
银川市,2026-05-20,2026.5.20四季鲜农产品综合市场蔬菜批发价格,白菜花,本地,元/500克,3.54,,,,,四季鲜农产品综合市场蔬菜批发价格,1,,https://fgw.yinchuan.gov.cn/fzgggz/jgjc/202605/t20260520_5245405.htm
银川市,2026-05-20,2026.5.20四季鲜农产品综合市场蔬菜批发价格,羊角椒,本地,元/500克,2.2,,,,,四季鲜农产品综合市场蔬菜批发价格,1,,https://fgw.yinchuan.gov.cn/fzgggz/jgjc/202605/t20260520_5245405.htm
银川市,2026-05-20,2026.5.20四季鲜农产品综合市场蔬菜批发价格,羊角椒,本地,元/500克,2.596,,,,,四季鲜农产品综合市场蔬菜批发价格,1,,https://fgw.yinchuan.gov.cn/fzgggz/jgjc/202605/t20260520_5245405.htm
银川市,2026-05-20,2026.5.20四季鲜农产品综合市场蔬菜批发价格,西兰花,本地,元/500克,3,,,,,四季鲜农产品综合市场蔬菜批发价格,1,,https://fgw.yinchuan.gov.cn/fzgggz/jgjc/202605/t20260520_5245405.htm
银川市,2026-05-20,2026.5.20四季鲜农产品综合市场蔬菜批发价格,西兰花,本地,元/500克,3.54,,,,,四季鲜农产品综合市场蔬菜批发价格,1,,https://fgw.yinchuan.gov.cn/fzgggz/jgjc/202605/t20260520_5245405.htm
银川市,2026-05-20,2026.5.20四季鲜农产品综合市场蔬菜批发价格,莲藕,本地,元/500克,2.6,,,,,四季鲜农产品综合市场蔬菜批发价格,1,,https://fgw.yinchuan.gov.cn/fzgggz/jgjc/202605/t20260520_5245405.htm
银川市,2026-05-20,2026.5.20四季鲜农产品综合市场蔬菜批发价格,莲藕,本地,元/500克,3.068,,,,,四季鲜农产品综合市场蔬菜批发价格,1,,https://fgw.yinchuan.gov.cn/fzgggz/jgjc/202605/t20260520_5245405.htm
银川市,2026-05-20,2026.5.20四季鲜农产品综合市场蔬菜批发价格,青梗菜花,本地,元/500克,2.3,,,,,四季鲜农产品综合市场蔬菜批发价格,1,,https://fgw.yinchuan.gov.cn/fzgggz/jgjc/202605/t20260520_5245405.htm
银川市,2026-05-20,2026.5.20四季鲜农产品综合市场蔬菜批发价格,青梗菜花,本地,元/500克,2.714,,,,,四季鲜农产品综合市场蔬菜批发价格,1,,https://fgw.yinchuan.gov.cn/fzgggz/jgjc/202605/t20260520_5245405.htm
银川市,2026-05-20,2026.5.20四季鲜农产品综合市场蔬菜批发价格,芹菜,本地,元/500克,0.7,,,,,四季鲜农产品综合市场蔬菜批发价格,1,,https://fgw.yinchuan.gov.cn/fzgggz/jgjc/202605/t20260520_5245405.htm
银川市,2026-05-20,2026.5.20四季鲜农产品综合市场蔬菜批发价格,芹菜,本地,元/500克,0.826,,,,,四季鲜农产品综合市场蔬菜批发价格,1,,https://fgw.yinchuan.gov.cn/fzgggz/jgjc/202605/t20260520_5245405.htm
